Tablilla,Tablero,Declarante,Jugador,Ss,Hs,Ds,Cs,NT_Bazas,Ss_Bazas,Hs_Bazas,Ds_Bazas,Cs_Bazas,ConteoS,ConteoH,ConteoD,ConteoC,HCP_Total
3,12,E,E,J7,KJT94,A98,Q92,7,7,8,6,5,2,5,3,3,11
3,12,E,S,KT98,73,KQ43,T85,5,6,4,7,8,4,2,4,3,8
3,12,E,W,A6542,AQ5,JT6,63,7,6,8,5,5,5,3,3,2,11
3,13,E,N,T842,Q632,JT63,T,6,8,6,7,5,4,4,4,1,3
3,13,E,E,J7,KJT94,A98,Q92,7,5,7,6,8,2,5,3,3,11
3,13,E,S,AK53,A5,K72,KJ63,5,8,6,7,5,4,2,3,4,18
3,13,E,W,Q96,87,Q54,A8754,7,5,7,6,8,3,2,3,5,8
3,14,E,N,T84,AQ83,76,KJ64,8,8,6,7,7,3,4,2,4,10
3,14,E,E,J7,KJT94,A98,Q92,6,5,7,6,6,2,5,3,3,11
3,14,E,S,Q953,75,KQJ5,A87,7,7,6,6,7,4,2,4,3,12
3,14,E,W,AK62,62,T432,T53,5,5,7,6,5,4,2,4,3,7
3,15,E,N,A832,AQ83,KJ,J86,6,6,6,9,9,4,4,2,3,15
3,15,E,E,J7,KJT94,A98,Q92,5,7,7,4,4,2,5,3,3,11
3,15,E,S,Q6,2,QT6432,KT53,6,6,5,9,8,2,1,6,4,7
3,15,E,W,KT954,765,75,A74,5,7,7,4,4,5,3,2,3,7
3,16,E,N,Q95,Q765,K42,K74,5,4,5,6,6,3,4,3,3,10
3,16,E,E,J7,KJT94,A98,Q92,7,8,8,6,7,2,5,3,3,11
3,16,E,S,K6,A82,JT75,JT65,5,5,5,6,6,2,3,4,4,9
3,16,E,W,AT8432,3,Q63,A83,7,8,8,7,7,6,1,3,3,10
3,17,E,N,K8,Q8765,KT,AK76,6,6,6,7,7,2,5,2,4,15
3,17,E,E,J7,KJT94,A98,Q92,7,7,6,5,5,2,5,3,3,11
3,17,E,S,AT52,3,J5432,843,6,6,6,7,7,4,1,5,3,5
3,17,E,W,Q9643,A2,Q76,JT5,7,7,7,5,5,5,2,3,3,9
3,18,E,N,AT2,A872,QJ743,7,5,9,3,10,3,3,4,5,1,11
3,18,E,E,J7,KJT94,A98,Q92,7,3,9,3,10,2,5,3,3,11
3,18,E,S,KQ863,63,K652,53,5,9,3,10,3,5,2,4,2,8
3,18,E,W,954,Q5,T,AKJT864,7,3,9,3,10,3,2,1,7,10
3,19,E,N,QT8542,Q52,Q52,A,2,7,2,5,4,6,3,3,1,10
3,19,E,E,J7,KJT94,A98,Q92,10,6,10,7,9,2,5,3,3,11
3,19,E,S,63,63,KJ74,T6543,2,7,2,5,4,2,2,4,5,4
3,19,E,W,AK9,A87,T63,KJ87,10,6,10,8,9,3,3,3,4,15
3,20,E,N,AK94,Q5,QJ73,854,1,6,1,5,1,4,2,4,3,12
3,20,E,E,J7,KJT94,A98,Q92,9,7,11,8,11,2,5,3,3,11
3,20,E,S,QT62,8732,T52,J7,1,6,1,5,1,4,4,3,2,3
3,20,E,W,853,A6,K64,AKT63,9,7,11,8,11,3,2,3,5,14
3,21,E,N,A98,A,652,AJ8754,9,6,5,11,11,3,1,3,6,13
3,21,E,E,J7,KJT94,A98,Q92,3,6,8,2,2,2,5,3,3,11
3,21,E,S,K42,76,KJT73,KT3,9,6,5,11,11,3,2,5,3,10
3,21,E,W,QT653,Q8532,Q4,6,3,6,8,2,2,5,5,2,1,6
3,22,E,N,9863,AQ62,T,7643,1,5,1,5,1,4,4,1,4,6
3,22,E,E,J7,KJT94,A98,Q92,9,7,11,7,10,2,5,3,3,11
3,22,E,S,KQT2,5,765432,KT,1,5,1,6,2,4,1,6,2,8
3,22,E,W,A54,873,KQJ,AJ85,9,7,11,7,10,3,3,3,4,15
3,23,E,N,K62,63,KJ52,K854,4,8,3,4,7,3,2,4,4,10
3,23,E,E,J7,KJT94,A98,Q92,7,5,9,8,6,2,5,3,3,11
3,23,E,S,QT9853,Q8,64,AT7,4,8,3,4,7,6,2,2,3,8
3,23,E,W,A4,A752,QT73,J63,7,5,9,8,6,2,4,4,3,11
3,24,E,N,Q92,A632,K764,65,5,7,6,5,3,3,4,4,2,9
3,24,E,E,J7,KJT94,A98,Q92,7,6,7,8,9,2,5,3,3,11
3,24,E,S,A8653,Q85,T3,AJ7,5,7,5,5,3,5,3,2,3,11
3,24,E,W,KT4,7,QJ52,KT843,7,6,7,8,9,3,1,4,5,9
3,25,E,N,KT95,A,J53,86543,5,8,4,5,8,4,1,3,5,8
3,25,E,E,J7,KJT94,A98,Q92,7,5,9,8,5,2,5,3,3,11
3,25,E,S,Q842,762,K72,AJ7,5,8,4,5,8,4,3,3,3,10
3,25,E,W,A63,Q853,QT64,KT,7,5,9,8,5,3,4,4,2,11
