Board,Jugador,Subasta_Real,Subasta_Predicha,Grilla_Predicha,Min_HCP,Max_HCP,Min_S,Max_S,Min_H,Max_H,Min_D,Max_D,Min_C,Max_C,Grilla,Force,Es_Correcta,Confianza,Subasta_Previa
4,S,Pass,Pass,0,6.89,6.89,0.0,6.03,0.0,6.3,0.0,6.06,0.0,6.0,0,No,SI,0.9999,1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic
4,W,3Tre,3NT,390,5.66,5.66,1.19,2.3,0.12,2.0,0.85,2.48,0.0,2.11,310,Si,NO,0.6104,1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass
4,N,Pass,Pass,0,14.72,14.72,1.5,4.91,2.11,5.63,0.31,5.05,0.56,5.36,0,No,SI,0.5535,1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre
4,E,3Dia,4Tre,410,19.19,19.19,0.0,5.08,0.0,3.72,3.74,6.61,0.5,5.44,330,Si,NO,0.9972,1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass
4,S,Pass,Pass,0,6.14,6.14,0.0,5.59,0.0,5.66,0.0,5.71,0.0,5.78,0,No,SI,0.9975,1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass - 3Dia
4,W,3NT,4Dia,430,6.36,6.36,1.31,2.51,0.19,2.17,0.91,2.69,0.0,2.29,390,No,NO,0.9509,1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass - 3Dia - Pass
4,N,Pass,6Pic,670,14.72,14.72,2.16,5.23,1.94,5.04,0.1,4.61,0.49,5.05,0,No,NO,0.3913,1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass - 3Dia - Pass - 3NT
4,E,Pass,6Pic,670,19.21,19.21,0.0,5.07,0.0,3.82,3.69,6.59,0.53,5.48,0,No,NO,0.9999,1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass - 3Dia - Pass - 3NT - Pass
4,S,Pass,Pass,0,6.68,6.68,0.0,6.01,0.0,6.08,0.0,6.19,0.0,6.2,0,No,SI,1.0000,1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass - 3Dia - Pass - 3NT - Pass - Pass
5,N,1Dia,1Dia,130,16.06,16.06,0.0,4.38,0.0,3.97,3.36,7.81,0.0,5.24,130,No,SI,0.9995,
5,E,1Pic,1Pic,170,12.98,12.98,2.91,5.81,1.03,4.49,0.0,4.29,0.1,4.58,170,No,SI,0.9743,1Dia
5,S,Pass,Pass,0,6.43,6.43,0.0,5.04,0.0,4.77,0.0,5.32,0.0,5.44,0,No,SI,0.8616,1Dia - 1Pic
5,W,1NT,1Pic,170,8.92,8.92,0.0,4.4,2.59,7.2,0.0,6.18,0.0,5.53,190,No,NO,0.9293,1Dia - 1Pic - Pass
5,N,2Dia,2Tre,210,10.16,10.16,0.68,3.63,0.54,3.61,0.75,4.15,1.95,4.99,230,No,NO,0.9090,1Dia - 1Pic - Pass - 1NT
5,E,Pass,2Cor,250,10.55,10.55,2.88,5.92,0.62,4.58,0.0,4.07,0.0,4.45,0,No,NO,0.9997,1Dia - 1Pic - Pass - 1NT - 2Dia
5,S,Pass,2Pic,270,7.34,7.34,0.5,4.44,0.0,4.3,0.12,4.95,0.65,5.02,0,No,NO,0.4614,1Dia - 1Pic - Pass - 1NT - 2Dia - Pass
5,W,Pass,2Pic,270,8.21,8.21,0.0,4.83,0.03,5.82,0.0,5.96,0.0,5.23,0,No,NO,0.9981,1Dia - 1Pic - Pass - 1NT - 2Dia - Pass - Pass
6,E,Pass,Pass,0,6.08,6.08,0.0,5.27,0.0,5.7,0.0,5.57,0.0,5.51,0,No,SI,0.9481,
6,S,Pass,Pass,0,5.45,5.45,0.0,5.19,0.0,5.59,0.0,5.54,0.0,5.47,0,No,SI,0.9552,Pass
6,W,2Cor,Pass,0,6.63,6.63,0.0,4.78,0.0,5.48,0.0,5.32,0.0,5.08,250,No,NO,0.8017,Pass - Pass
6,N,X,3Dia,330,15.92,15.92,3.15,5.59,0.16,3.6,1.5,4.99,0.18,4.49,251,No,NO,0.9303,Pass - Pass - 2Cor
6,E,Pass,Pass,0,6.5,6.5,0.0,6.13,0.0,6.16,0.0,6.14,0.0,6.12,0,No,SI,0.9992,Pass - Pass - 2Cor - X
6,S,2NT,3Dia,330,4.0,4.0,1.29,2.59,0.0,1.76,0.1,1.88,0.17,2.12,290,No,NO,0.9109,Pass - Pass - 2Cor - X - Pass
6,W,Pass,Pass,0,6.98,6.98,0.0,5.39,0.0,5.8,0.0,5.8,0.0,5.7,0,No,SI,1.0000,Pass - Pass - 2Cor - X - Pass - 2NT
6,N,3NT,3Cor,350,18.66,18.66,2.09,4.59,2.21,4.46,1.31,4.59,1.14,4.6,390,No,NO,0.8968,Pass - Pass - 2Cor - X - Pass - 2NT - Pass
6,E,Pass,Pass,0,5.86,5.86,0.0,5.18,0.0,5.24,0.0,5.36,0.0,5.47,0,No,SI,0.9916,Pass - Pass - 2Cor - X - Pass - 2NT - Pass - 3NT
6,S,Pass,Pass,0,8.51,8.51,0.44,4.1,0.99,5.15,0.23,5.06,0.89,4.9,0,No,SI,0.9609,Pass - Pass - 2Cor - X - Pass - 2NT - Pass - 3NT - Pass
6,W,Pass,Pass,0,6.76,6.76,0.0,4.92,0.0,5.35,0.0,5.44,0.0,5.17,0,No,SI,0.9988,Pass - Pass - 2Cor - X - Pass - 2NT - Pass - 3NT - Pass - Pass
7,S,1Pic,2Tre,210,17.82,17.82,1.71,5.81,1.94,6.05,0.7,6.01,0.5,5.99,170,No,NO,0.9428,
7,W,Pass,Pass,0,6.23,6.23,0.0,5.32,0.0,5.41,0.0,5.65,0.0,5.74,0,No,SI,0.8544,1Pic
7,N,2Pic,2Pic,270,6.3,6.3,0.0,4.59,0.0,5.44,0.0,5.25,0.0,5.08,270,No,SI,0.8447,1Pic - Pass
7,E,Pass,Pass,0,6.87,6.87,0.0,5.82,0.0,6.19,0.0,5.82,0.0,5.67,0,No,SI,1.0000,1Pic - Pass - 2Pic
7,S,3Cor,2Pic,270,13.41,13.41,1.54,4.58,2.77,5.46,0.17,4.53,1.04,4.94,350,Si,NO,0.3507,1Pic - Pass - 2Pic - Pass
7,W,Pass,Pass,0,6.37,6.37,0.0,5.76,0.0,5.81,0.0,6.02,0.0,6.11,0,No,SI,0.9940,1Pic - Pass - 2Pic - Pass - 3Cor
7,N,3Pic,Pass,0,7.58,7.58,0.74,4.78,0.0,4.39,0.0,5.11,0.35,5.05,370,No,NO,0.5788,1Pic - Pass - 2Pic - Pass - 3Cor - Pass
7,E,Pass,Pass,0,6.39,6.39,0.0,5.68,0.0,5.97,0.0,5.69,0.0,5.67,0,No,SI,0.9994,1Pic - Pass - 2Pic - Pass - 3Cor - Pass - 3Pic
7,S,Pass,4Cor,450,13.72,13.72,1.36,4.66,3.13,5.97,0.14,4.82,0.79,5.07,0,Si,NO,0.7921,1Pic - Pass - 2Pic - Pass - 3Cor - Pass - 3Pic - Pass
7,W,Pass,Pass,0,6.76,6.76,0.0,5.61,0.0,5.91,0.0,6.03,0.0,6.04,0,No,SI,0.9971,1Pic - Pass - 2Pic - Pass - 3Cor - Pass - 3Pic - Pass - Pass
8,W,Pass,Pass,0,6.57,6.57,0.0,4.95,0.0,5.58,0.0,5.38,0.0,5.34,0,No,SI,0.7898,
8,N,1Dia,1Dia,130,16.1,16.1,0.0,4.37,0.0,3.96,3.26,7.67,0.0,5.26,130,No,SI,0.9992,Pass
8,E,1Pic,Pass,0,9.21,9.21,1.06,4.17,0.15,4.13,0.18,4.11,0.96,4.63,170,No,NO,0.9598,Pass - 1Dia
8,S,X,2Cor,250,13.53,13.53,0.84,3.89,0.91,3.91,1.08,4.17,0.73,4.46,171,Si,NO,0.5694,Pass - 1Dia - 1Pic
8,W,4Pic,3Pic,370,5.87,5.87,3.76,5.18,0.0,3.79,0.0,4.0,0.0,4.12,470,No,NO,0.6258,Pass - 1Dia - 1Pic - X
8,N,5Cor,4NT,490,16.56,16.56,0.6,4.61,4.17,7.16,0.0,5.24,0.0,5.03,550,No,NO,0.6722,Pass - 1Dia - 1Pic - X - 4Pic
8,E,Pass,Pass,0,6.63,6.63,0.96,2.86,0.94,3.28,0.75,3.25,1.24,3.49,0,No,SI,0.9784,Pass - 1Dia - 1Pic - X - 4Pic - 5Cor
8,S,Pass,6Dia,630,11.43,11.43,0.56,3.86,1.74,5.01,2.05,6.16,0.12,4.58,0,No,NO,0.6087,Pass - 1Dia - 1Pic - X - 4Pic - 5Cor - Pass
8,W,Pass,Pass,0,3.78,3.78,1.34,3.02,0.49,3.94,0.0,3.48,0.0,3.86,0,No,SI,0.7879,Pass - 1Dia - 1Pic - X - 4Pic - 5Cor - Pass - Pass
8,N,Pass,6Pic,670,15.71,15.71,0.69,4.59,4.1,6.94,0.0,4.93,0.0,4.86,0,No,NO,0.9864,Pass - 1Dia - 1Pic - X - 4Pic - 5Cor - Pass - Pass - Pass
9,N,Pass,Pass,0,6.12,6.12,0.0,5.24,0.0,5.47,0.0,5.62,0.0,5.48,0,No,SI,0.9410,
9,E,Pass,Pass,0,5.66,5.66,0.0,5.37,0.0,5.88,0.0,5.73,0.0,5.62,0,No,SI,0.9605,Pass
9,S,2Tre,1Pic,170,19.31,19.31,3.87,7.36,0.63,5.05,0.94,5.84,0.49,5.83,210,Si,NO,0.7749,Pass - Pass
9,W,Pass,Pass,0,7.27,7.27,0.0,4.73,0.0,5.11,0.0,5.3,0.0,4.74,0,No,SI,0.8307,Pass - Pass - 2Tre
9,N,2Dia,4Tre,410,7.09,7.09,0.0,4.37,0.0,4.97,0.0,5.33,0.16,5.2,230,Si,NO,0.4343,Pass - Pass - 2Tre - Pass
9,E,Pass,Pass,0,6.18,6.18,0.0,5.66,0.0,5.67,0.0,5.75,0.0,5.81,0,No,SI,0.9958,Pass - Pass - 2Tre - Pass - 2Dia
9,S,2Cor,4Tre,410,21.49,21.49,1.77,6.25,1.61,5.92,0.86,6.08,0.37,6.52,250,Si,NO,0.9976,Pass - Pass - 2Tre - Pass - 2Dia - Pass
9,W,Pass,Pass,0,6.88,6.88,0.0,5.14,0.0,5.45,0.0,5.69,0.0,5.21,0,No,SI,1.0000,Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor
9,N,2Pic,Pass,0,7.31,7.31,0.0,5.13,0.0,5.1,0.0,5.67,0.0,5.55,270,Si,NO,0.8621,Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass
9,E,Pass,Pass,0,6.41,6.41,0.0,5.8,0.0,6.18,0.0,6.0,0.0,5.9,0,No,SI,0.9999,Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic
9,S,3Dia,4Tre,410,21.48,21.48,1.77,6.25,1.8,6.36,0.68,6.33,0.18,6.6,330,Si,NO,0.9962,Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass
9,W,Pass,Pass,0,6.56,6.56,0.0,4.84,0.0,5.26,0.0,5.41,0.0,4.92,0,No,SI,0.9996,Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass - 3Dia
9,N,4Cor,Pass,0,7.5,7.5,1.25,4.25,0.69,4.59,0.0,4.45,0.22,4.6,450,No,NO,0.8974,Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass - 3Dia - Pass
9,E,Pass,Pass,0,6.31,6.31,0.0,5.22,0.0,5.2,0.0,5.29,0.0,5.48,0,No,SI,0.9874,Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass - 3Dia - Pass - 4Cor
9,S,Pass,4Cor,450,21.22,21.22,1.77,6.2,1.88,6.39,0.6,6.3,0.1,6.56,0,No,NO,0.2729,Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass - 3Dia - Pass - 4Cor - Pass
9,W,Pass,Pass,0,7.69,7.69,0.0,5.27,0.0,5.79,0.0,6.04,0.0,5.4,0,No,SI,0.9985,Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass - 3Dia - Pass - 4Cor - Pass - Pass
10,E,Pass,Pass,0,6.08,6.08,0.0,5.27,0.0,5.7,0.0,5.57,0.0,5.51,0,No,SI,0.9481,
10,S,1Dia,1Dia,130,16.15,16.15,0.0,4.42,0.0,4.2,2.82,7.09,0.51,5.54,130,No,SI,0.9888,Pass
10,W,1Pic,2Cor,250,9.46,9.46,0.86,3.52,1.74,4.05,0.17,3.71,0.82,4.01,170,No,NO,0.8581,Pass - 1Dia
10,N,3Dia,2Pic,270,5.1,5.1,0.65,2.99,0.0,3.41,0.0,3.59,1.84,4.23,330,No,NO,0.6397,Pass - 1Dia - 1Pic
10,E,X,3Cor,350,9.01,9.01,0.33,3.36,2.63,4.93,0.0,3.81,0.34,3.96,331,Si,NO,0.5465,Pass - 1Dia - 1Pic - 3Dia
10,S,Pass,Pass,0,11.22,11.22,1.62,4.9,2.29,5.44,0.0,4.54,0.48,5.29,0,No,SI,0.8786,Pass - 1Dia - 1Pic - 3Dia - X
10,W,3Pic,4Dia,430,11.43,11.43,0.0,3.42,0.0,4.02,3.55,7.28,0.0,4.45,370,No,NO,0.9584,Pass - 1Dia - 1Pic - 3Dia - X - Pass
10,N,Pass,Pass,0,3.97,3.97,0.3,2.53,0.84,3.33,0.0,3.18,0.69,3.22,0,No,SI,0.9794,Pass - 1Dia - 1Pic - 3Dia - X - Pass - 3Pic
10,E,Pass,4Cor,450,11.65,11.65,0.49,4.12,2.8,5.64,0.0,4.68,0.37,4.77,0,No,NO,0.4704,Pass - 1Dia - 1Pic - 3Dia - X - Pass - 3Pic - Pass
10,S,Pass,4Cor,450,11.95,11.95,1.3,4.61,3.19,5.85,0.0,4.69,0.37,4.91,0,No,NO,0.8227,Pass - 1Dia - 1Pic - 3Dia - X - Pass - 3Pic - Pass - Pass
11,S,1Cor,1NT,190,14.35,14.35,1.22,4.72,2.57,5.97,0.49,5.16,0.78,5.3,150,No,NO,0.3742,
11,W,Pass,Pass,0,5.69,5.69,0.0,5.02,0.0,5.39,0.0,5.43,0.0,5.41,0,No,SI,0.7538,1Cor
11,N,2Dia,2Dia,230,12.29,12.29,0.0,3.74,0.0,3.93,1.67,5.31,1.32,5.13,230,Si,SI,0.6192,1Cor - Pass
11,E,Pass,Pass,0,6.65,6.65,0.0,5.94,0.0,5.97,0.0,5.82,0.0,5.84,0,No,SI,0.9462,1Cor - Pass - 2Dia
11,S,2Cor,2Cor,250,11.45,11.45,0.94,4.06,3.18,5.62,0.0,4.4,0.78,4.61,250,No,SI,0.9794,1Cor - Pass - 2Dia - Pass
11,W,Pass,Pass,0,6.39,6.39,0.0,5.75,0.0,5.79,0.0,5.98,0.0,6.11,0,No,SI,0.9145,1Cor - Pass - 2Dia - Pass - 2Cor
11,N,2NT,4Tre,410,13.99,13.99,0.0,3.54,0.0,2.7,3.22,5.53,0.2,4.11,290,Si,NO,0.4497,1Cor - Pass - 2Dia - Pass - 2Cor - Pass
11,E,Pass,Pass,0,6.64,6.64,0.0,5.97,0.0,6.16,0.0,5.87,0.0,5.86,0,No,SI,0.9998,1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT
11,S,3NT,4Cor,450,10.85,10.85,0.78,3.94,3.25,5.63,0.0,4.28,0.68,4.52,390,No,NO,0.4452,1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT - Pass
11,W,Pass,Pass,0,5.96,5.96,0.0,5.24,0.0,5.44,0.0,5.53,0.0,5.66,0,No,SI,0.9983,1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT - Pass - 3NT
11,N,4NT,4NT,490,15.64,15.64,0.67,4.51,0.0,3.57,3.94,8.17,0.0,4.7,490,No,SI,0.9997,1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT - Pass - 3NT - Pass
11,E,Pass,Pass,0,6.19,6.19,0.0,5.5,0.0,5.8,0.0,5.57,0.0,5.54,0,No,SI,0.9999,1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT - Pass - 3NT - Pass - 4NT
11,S,Pass,Pass,0,11.32,11.32,1.01,4.03,2.98,5.42,0.04,4.34,0.84,4.54,0,No,SI,0.8234,1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT - Pass - 3NT - Pass - 4NT - Pass
11,W,Pass,Pass,0,6.89,6.89,0.0,5.21,0.0,5.61,0.0,5.78,0.0,5.82,0,No,SI,0.9963,1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT - Pass - 3NT - Pass - 4NT - Pass - Pass
12,W,3Dia,2Dia,230,8.89,8.89,0.0,3.21,0.0,3.36,2.33,7.41,2.45,6.35,330,No,NO,0.6016,
12,N,X,3NT,390,12.9,12.9,0.51,3.94,0.03,3.96,2.11,5.71,1.12,5.41,331,Si,NO,0.9972,3Dia
12,E,Pass,Pass,0,7.02,7.02,0.0,6.32,0.0,6.41,0.0,6.11,0.0,6.07,0,No,SI,0.9997,3Dia - X
12,S,4Cor,4Cor,450,11.12,11.12,1.45,4.29,1.45,4.15,0.96,4.69,1.09,4.42,450,No,SI,0.9545,3Dia - X - Pass
12,W,Pass,4NT,490,6.89,6.89,0.0,2.87,0.92,3.99,2.13,4.92,0.8,4.19,0,No,NO,0.5137,3Dia - X - Pass - 4Cor
12,N,Pass,4NT,490,11.66,11.66,0.6,3.34,0.49,3.6,1.73,4.58,0.72,4.35,0,Si,NO,0.7218,3Dia - X - Pass - 4Cor - Pass
12,E,Pass,Pass,0,6.63,6.63,0.0,5.82,0.0,6.0,0.0,5.9,0.0,5.89,0,No,SI,0.9999,3Dia - X - Pass - 4Cor - Pass - Pass
13,N,Pass,Pass,0,6.12,6.12,0.0,5.24,0.0,5.47,0.0,5.62,0.0,5.48,0,No,SI,0.9410,
13,E,1Pic,2Tre,210,21.0,21.0,1.6,6.28,1.38,6.36,0.89,6.47,0.25,6.44,170,No,NO,0.9788,Pass
13,S,2Tre,4Pic,470,12.79,12.79,2.32,4.67,0.0,3.56,0.0,4.11,1.6,5.14,210,No,NO,0.6747,Pass - 1Pic
13,W,3Pic,4Pic,470,7.7,7.7,2.85,4.98,0.0,2.4,0.0,2.6,0.0,3.16,370,No,NO,1.0000,Pass - 1Pic - 2Tre
13,N,5Tre,5Pic,570,12.53,12.53,0.0,3.32,0.0,2.79,2.61,4.79,0.76,3.96,510,No,NO,0.3876,Pass - 1Pic - 2Tre - 3Pic
13,E,5Pic,5Pic,570,7.56,7.56,2.24,4.06,0.0,2.52,0.51,2.98,0.0,2.98,570,No,SI,0.9999,Pass - 1Pic - 2Tre - 3Pic - 5Tre
13,S,6Tre,Pass,0,11.25,11.25,1.55,3.35,0.83,2.81,0.8,3.27,1.36,3.83,610,No,NO,0.9408,Pass - 1Pic - 2Tre - 3Pic - 5Tre - 5Pic
13,W,6Pic,6Dia,630,3.46,3.46,1.39,2.47,0.0,1.42,0.0,1.48,0.03,1.83,670,No,NO,0.4949,Pass - 1Pic - 2Tre - 3Pic - 5Tre - 5Pic - 6Tre
13,N,X,Pass,0,7.86,7.86,2.03,4.81,1.51,5.51,0.0,4.99,0.0,5.32,671,No,NO,0.9999,Pass - 1Pic - 2Tre - 3Pic - 5Tre - 5Pic - 6Tre - 6Pic
13,E,Pass,6Pic,670,6.72,6.72,2.23,3.92,0.0,2.29,0.15,2.55,0.0,2.8,0,No,NO,0.9976,Pass - 1Pic - 2Tre - 3Pic - 5Tre - 5Pic - 6Tre - 6Pic - X
13,S,Pass,Pass,0,13.73,13.73,1.67,4.27,1.09,3.64,0.99,4.32,1.19,4.34,0,No,SI,0.9809,Pass - 1Pic - 2Tre - 3Pic - 5Tre - 5Pic - 6Tre - 6Pic - X - Pass
13,W,Pass,6Pic,670,3.88,3.88,1.57,2.77,0.0,1.51,0.0,1.56,0.01,1.97,0,No,NO,0.9979,Pass - 1Pic - 2Tre - 3Pic - 5Tre - 5Pic - 6Tre - 6Pic - X - Pass - Pass
14,E,1Dia,1Dia,130,16.26,16.26,0.0,4.2,0.0,4.01,3.3,7.7,0.03,5.45,130,No,SI,0.9971,
14,S,Pass,Pass,0,6.06,6.06,0.0,5.81,0.0,5.99,0.0,5.92,0.0,5.86,0,No,SI,0.9685,1Dia
